L,A,B
38,158,151
38,158,151
37,159,150
37,159,150
37,159,150
37,159,150
38,159,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,160,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
37,159,150
37,159,150
37,159,150
37,159,150
38,158,150
38,158,150
38,158,150
38,159,150
38,159,150
37,159,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
36,159,149
37,159,150
37,159,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
37,158,150
36,158,149
36,158,149
37,158,150
37,158,150
36,159,149
37,158,150
37,158,150
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
38,160,151
38,160,151
38,160,151
38,160,151
38,159,150
37,159,150
37,159,150
37,159,150
38,158,150
38,158,150
38,158,150
37,158,150
37,158,150
36,159,149
36,159,149
37,159,150
37,159,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
37,158,150
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,156,149
36,156,149
36,156,149
36,158,149
36,158,149
36,158,149
36,157,149
36,159,149
36,159,149
36,159,149
38,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,159,150
37,159,150
37,159,150
37,159,150
37,159,150
37,158,150
37,158,150
37,158,150
37,158,150
36,159,149
36,159,149
36,159,149
36,159,149
37,159,150
37,159,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
37,158,150
36,158,149
36,156,149
36,156,149
36,156,149
36,156,149
36,158,149
36,158,149
36,158,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
35,157,148
36,157,149
36,158,149
36,157,149
36,157,149
36,157,149
36,158,149
36,158,149
40,160,151
40,160,151
40,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,160,151
38,159,150
38,159,150
37,159,150
37,159,150
37,159,150
36,159,149
36,159,149
37,158,150
37,158,150
37,158,150
36,159,149
36,159,149
36,159,149
36,159,149
37,159,150
37,159,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
37,158,150
36,158,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,156,149
36,157,149
36,157,149
36,156,149
36,157,149
36,157,149
36,157,149
36,157,149
35,157,148
35,157,148
35,157,148
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
36,158,149
38,158,150
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
40,160,151
39,159,151
38,160,151
38,160,151
38,160,151
38,160,151
38,159,150
38,159,150
38,159,150
38,158,151
38,158,150
37,159,150
37,158,150
37,158,150
37,158,150
37,158,150
37,158,150
37,158,150
36,159,149
36,159,149
37,159,150
37,159,150
37,159,150
