L,A,B
97,187,179
99,188,180
99,187,180
99,187,180
98,187,180
97,187,179
97,187,179
97,187,180
97,187,180
97,187,180
97,187,179
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,181
100,188,181
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,187,180
98,187,180
98,187,180
97,187,180
97,187,180
97,187,180
97,187,180
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
98,188,181
98,187,180
98,187,180
98,187,181
98,187,181
98,187,180
98,187,180
98,187,180
98,187,180
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
98,187,180
99,188,180
99,188,180
99,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,181
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
98,188,181
98,188,181
98,188,181
99,188,180
99,188,180
99,188,180
98,187,181
98,187,181
98,187,180
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
97,187,179
99,188,180
99,188,180
99,188,180
100,188,180
100,188,181
100,188,181
100,188,181
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
99,188,180
98,187,180
98,187,180
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
100,188,180
99,188,181
100,188,180
100,188,181
100,188,181
100,188,181
100,188,181
100,188,181
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
100,188,180
99,188,180
99,188,180
99,188,180
99,188,180
