B,G,R
1,15,141
1,15,143
1,15,142
1,15,142
1,15,142
1,15,142
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
2,15,141
2,15,141
2,15,141
2,15,141
2,15,141
2,15,141
2,15,141
1,15,141
1,15,141
1,15,140
1,15,140
1,14,140
1,14,140
1,14,140
1,15,141
1,15,143
1,15,143
1,15,143
1,15,142
1,15,142
1,15,142
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,140
1,15,140
1,15,141
1,15,141
1,15,141
1,15,141
2,15,141
2,15,141
3,15,141
3,15,141
3,15,141
2,15,141
2,15,141
1,15,140
1,15,140
2,14,139
2,14,139
2,14,138
2,14,139
2,14,140
1,14,140
1,15,140
1,15,139
1,15,139
1,15,139
2,15,143
1,14,142
1,14,142
1,14,142
1,14,142
1,15,142
1,15,142
1,15,142
1,15,142
1,15,142
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,140
1,15,140
1,15,141
1,15,141
2,15,141
2,15,141
3,15,141
3,15,141
3,15,141
3,15,141
3,15,141
3,15,141
3,15,141
2,15,141
2,15,140
2,15,139
2,14,139
2,14,138
2,14,138
2,14,138
2,14,138
2,14,139
2,15,138
2,15,138
2,15,137
1,15,137
1,15,137
1,15,137
1,15,137
1,15,138
2,16,143
2,15,143
2,15,143
2,15,143
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,15,142
1,15,142
1,15,142
1,15,142
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,141
1,15,140
1,15,140
1,15,141
2,15,141
2,15,142
3,15,142
3,15,143
3,16,143
3,16,143
3,16,143
3,16,143
3,16,143
3,15,141
2,15,141
2,15,141
2,15,140
2,15,139
2,14,138
2,14,138
2,14,138
2,14,138
2,14,138
2,15,138
2,15,137
2,15,137
2,15,137
1,15,136
1,15,136
1,15,136
1,15,136
1,15,137
1,15,138
1,15,138
1,15,139
1,15,144
2,15,144
2,15,143
2,15,143
2,15,143
2,15,143
2,15,143
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,15,142
1,15,142
1,15,142
1,15,142
1,15,141
1,15,141
1,15,141
1,15,141
1,15,142
2,16,142
2,16,142
2,16,142
2,16,142
2,15,142
2,15,142
2,15,143
2,15,143
3,15,143
3,16,144
3,16,145
3,16,145
3,16,145
3,16,145
3,16,144
3,16,144
2,16,143
2,16,142
2,16,142
2,16,142
2,15,140
3,15,139
3,15,139
2,14,139
2,15,138
2,15,138
2,15,137
2,15,137
2,15,136
2,15,136
1,15,136
1,15,136
1,15,136
1,15,136
1,15,136
1,15,136
1,15,138
1,15,138
1,15,139
0,15,139
2,15,145
2,15,145
1,15,144
1,15,144
1,15,144
2,15,143
2,15,143
2,15,143
2,15,143
2,15,143
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,14,142
1,15,143
1,16,143
1,16,143
1,16,143
1,16,143
1,15,143
1,15,143
1,15,143
2,15,143
2,16,143
3,16,144
3,16,144
3,16,144
3,16,144
3,16,144
3,16,146
2,16,146
2,16,146
2,16,146
3,16,146
3,16,147
3,16,147
3,16,147
3,16,147
3,16,147
2,16,146
2,16,145
2,16,144
2,16,144
2,16,144
2,16,142
2,16,142
3,15,140
3,15,139
3,15,139
2,15,138
2,15,137
2,15,137
2,15,136
2,15,136
2,15,136
1,15,136
1,15,136
1,15,136
1,15,136
1,15,136
1,15,137
1,15,137
1,15,138
1,15,138
1,15,138
1,15,138
1,15,139
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
1,15,144
2,15,144
2,15,144
2,15,143
2,15,143
2,15,143
2,15,143
2,15,143
2,15,143
2,15,143
2,15,143
1,15,143
2,15,143
2,16,144
2,16,144
2,16,144
2,16,144
2,16,144
2,16,143
2,16,143
2,16,144
2,16,144
3,16,145
3,16,145
3,16,145
3,16,147
4,16,147
3,16,147
3,16,147
3,16,147
3,16,147
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,147
2,16,147
2,16,147
2,16,146
2,16,146
2,16,145
2,16,144
2,16,144
3,16,144
3,16,142
3,16,140
3,16,140
2,16,139
2,15,139
2,15,138
2,15,137
2,15,137
2,15,136
2,15,136
2,15,136
1,15,136
1,15,136
1,15,137
1,15,137
1,15,137
1,15,137
1,15,137
1,14,137
1,15,137
1,15,138
1,15,138
1,15,138
1,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,15,145
2,16,145
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
3,16,146
3,16,146
3,16,147
3,16,147
4,16,148
4,16,148
4,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
2,16,147
2,16,147
2,16,147
2,16,146
2,16,146
2,16,146
3,16,145
3,17,144
3,16,144
3,16,143
3,16,142
3,16,140
2,16,139
2,16,139
2,15,138
2,15,138
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
1,15,137
1,15,137
1,14,137
1,14,137
1,15,137
2,15,136
2,15,136
1,15,136
1,15,137
1,16,138
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
3,16,146
3,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,147
2,16,146
2,16,147
2,16,147
2,16,147
2,16,147
3,16,147
3,16,147
3,16,147
3,16,147
3,16,147
3,16,147
4,16,148
4,16,148
4,16,148
4,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
2,16,148
2,16,148
2,16,147
2,16,147
2,16,147
2,16,147
3,17,147
3,17,147
3,17,147
3,17,147
3,17,145
3,16,144
3,16,143
3,16,142
2,16,140
2,15,139
3,15,139
3,15,139
3,15,138
3,15,138
3,15,138
3,15,137
3,15,137
3,15,137
3,15,137
2,15,137
2,15,137
2,14,137
2,15,137
2,15,136
2,15,136
2,15,136
1,15,136
1,15,136
1,15,136
1,15,137
1,15,138
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
2,16,146
3,16,146
3,16,146
3,16,146
3,16,146
3,16,146
2,16,146
2,16,146
3,16,146
3,16,146
3,16,146
3,16,146
3,16,146
3,16,146
3,16,146
3,16,147
3,17,147
3,17,147
2,16,147
2,16,148
2,16,148
2,16,148
2,16,148
3,16,148
3,16,148
2,16,148
3,16,148
3,16,148
3,16,148
4,16,149
4,16,149
4,16,149
4,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
3,16,148
