H,S,V
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,110
3,250,110
3,250,110
3,250,110
3,253,109
3,253,109
3,253,109
3,253,110
3,253,110
3,253,110
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,110
3,250,110
3,250,110
3,250,110
3,253,109
3,253,109
3,253,109
3,253,110
3,253,110
3,253,110
3,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,250,111
3,250,111
3,250,112
3,250,112
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,253,110
3,253,110
3,253,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,110
3,253,110
3,253,110
3,253,110
3,253,110
3,253,109
3,253,109
3,253,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,112
3,250,112
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,110
3,250,110
3,250,110
3,250,111
3,250,111
3,250,111
3,250,111
3,253,110
3,253,110
3,253,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,110
3,253,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,110
3,253,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
4,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,250,110
3,250,110
3,250,110
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,111
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,110
3,253,110
3,250,110
3,250,111
3,250,111
3,250,110
3,253,110
3,253,110
3,253,110
3,253,110
3,250,110
3,253,110
3,253,109
3,253,109
4,255,109
3,253,109
3,253,109
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,253,109
3,253,109
3,250,110
3,250,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,111
3,253,111
3,250,111
3,253,110
3,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,110
3,253,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,110
3,253,110
3,253,110
3,253,110
3,253,109
3,255,108
3,255,108
3,255,108
3,253,108
3,253,109
3,250,109
3,250,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,110
3,253,110
3,250,110
3,250,110
3,250,110
3,250,110
3,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,253,109
3,253,109
3,250,110
3,250,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,110
3,253,110
3,253,110
3,253,110
3,253,110
3,253,109
3,253,109
3,253,109
3,255,108
3,255,108
3,255,108
3,255,108
3,253,108
3,253,109
3,250,109
3,250,110
3,250,110
3,250,110
3,253,110
3,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,250,110
3,253,110
3,253,110
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,107
3,253,109
3,253,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,107
3,255,107
3,255,108
3,253,109
3,253,109
3,253,109
3,253,110
3,253,109
3,253,109
3,253,109
3,253,108
3,253,109
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,107
3,253,107
3,253,107
3,253,107
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,108
3,253,108
3,255,107
3,255,107
3,255,107
3,253,107
3,253,107
3,253,107
3,250,108
3,250,109
3,250,109
3,253,109
3,253,109
3,253,109
3,255,109
3,255,108
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,108
3,253,107
3,253,107
3,250,111
3,250,110
3,253,109
3,253,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,106
3,255,106
3,255,106
3,255,107
3,253,107
3,253,108
3,253,109
3,253,108
3,253,108
3,253,108
3,253,108
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,105
3,253,105
3,253,105
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,107
3,253,108
3,253,109
3,253,109
3,253,108
3,253,107
3,253,106
3,253,106
3,253,106
3,255,106
3,255,106
3,255,106
3,253,107
3,253,107
3,253,107
3,253,108
3,253,108
3,253,108
3,255,108
3,255,108
3,255,108
3,255,108
3,253,108
3,253,108
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,108
3,253,108
3,253,108
3,253,108
3,253,111
3,250,111
3,250,111
3,250,110
3,253,109
3,253,109
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,108
3,255,107
3,255,106
3,255,106
3,255,106
3,253,106
3,253,106
3,253,107
3,253,107
3,253,107
3,253,107
3,253,106
3,253,106
3,250,106
3,250,106
3,250,106
3,250,105
3,250,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,107
3,253,107
3,253,107
3,253,107
3,255,107
3,255,107
3,255,108
3,253,108
3,253,108
3,253,108
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,108
3,255,113
3,253,112
3,250,111
3,250,111
3,250,111
3,250,111
3,250,110
3,253,109
3,253,108
3,253,108
3,253,108
3,253,108
3,253,108
3,253,108
3,253,107
3,255,106
3,255,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,107
3,253,107
3,253,106
3,250,106
3,250,106
3,250,106
3,250,105
3,250,105
3,250,105
3,250,105
3,250,105
3,250,104
3,250,103
3,250,103
3,250,103
3,250,104
3,250,104
3,250,104
3,250,104
3,250,104
3,250,104
3,250,103
3,250,103
3,250,105
3,250,105
3,250,105
3,250,105
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,106
3,253,107
3,253,108
3,253,108
3,255,108
3,255,108
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,255,113
3,255,113
3,255,113
3,253,113
3,250,111
3,250,111
3,250,111
3,250,110
3,250,110
3,250,109
3,250,108
3,250,108
3,250,108
3,250,107
3,250,107
3,250,107
3,250,106
3,253,106
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,106
3,253,106
3,250,106
3,248,106
3,248,106
3,248,105
3,248,105
2,245,105
2,245,105
2,245,105
3,248,105
3,248,104
3,248,103
3,248,103
3,248,103
3,248,104
3,248,104
3,250,104
3,250,104
3,250,103
3,250,103
3,250,103
3,250,103
3,250,105
3,250,105
3,250,105
3,250,105
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,106
3,250,105
3,250,105
3,250,105
3,250,105
3,250,105
3,250,106
3,250,106
3,250,106
3,250,107
3,250,107
3,250,108
3,253,108
3,253,108
3,253,108
3,253,108
3,253,108
3,255,108
3,255,108
3,255,108
3,255,108
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
3,253,109
2,251,114
3,251,114
3,250,113
3,253,113
3,250,113
3,250,112
3,250,111
3,250,111
3,250,111
3,250,110
3,250,109
3,250,109
3,250,108
3,250,107
3,250,107
3,250,107
3,250,107
3,250,106
3,250,106
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,253,105
3,250,106
3,250,106
3,248,106
2,245,106
2,245,105
2,245,105
2,245,105
2,245,105
2,245,105
2,245,105
3,248,104
3,248,104
3,248,104
2,245,104
2,245,104
2,245,104
3,248,104
3,248,104
3,250,103
3,250,103
3,250,103
3,250,103
3,250,105
3,250,105
3,250,105
3,250,105
3,250,106
